	Data	Id	Label	Median	Signif	Substr	pVal
184	0.27	Median_IFI	emptySplitGal4	0.29	no	yeast	1.0
185	0.07	Median_IFI	0730	0.08	yes	yeast	2.6148780761295688e-05
186	5.72	Median_IFI	0731	0.3175	no	yeast	0.9919495025550509
187	0.135	Median_IFI	0732	0.09	yes	yeast	0.0025722336094205
188	0.08	Median_IFI	0923	0.24	no	yeast	0.30336711089679236
189	1.62	Median_IFI	1046	1.7650000000000001	no	yeast	1.0
190	0.07	Median_IFI	1052	0.245	no	yeast	0.8243330035614154
191	16.21	Median_IFI	1053	34.32	yes	yeast	2.3376174929361633e-05
192	0.04	Median_IFI	1054	2.78	no	yeast	0.16697769998509887
193	0.24	Median_IFI	1063	4.5625	no	yeast	0.1431882794569608
194	0.185	Median_IFI	1073	4.9475	no	yeast	0.0395800036377323
195	55.59	Median_IFI	1075	9.8025	no	yeast	0.06633503470962215
196	275.04	Median_IFI	1077	37.89	yes	yeast	0.0009904370673018516
197	23.02	Median_IFI	1543	35.4975	yes	yeast	0.00018933401878420882
198	89.22	Median_IFI	1545	35.53	yes	yeast	0.00015929835282465745
199	4.95	Median_IFI	1549	0.08	yes	yeast	2.192914645086058e-05
200	4.155	Median_IFI	1550	0.08	yes	yeast	0.00027919356681148735
201	53.78	Median_IFI	1554	32.04	yes	yeast	0.00015328096920419587
202	52.44	Median_IFI	1557	9.81	no	yeast	0.031097226883546433
203	4.31	Median_IFI	1558	4.48	no	yeast	0.07415218567421411
204	0.195	Median_IFI	1561	15.205	no	yeast	0.010200396988761403
205	43.08	Median_IFI	1564	13.87	no	yeast	0.055772593240298284
206	0.13	Median_IFI	1565	2.72	no	yeast	0.18254082760497736
207	4.73	Median_IFI	1566	0.37	no	yeast	0.3690581252054873
208	82.95	Median_IFI	1567	17.1675	no	yeast	0.07378087703526331
209	69.435	Median_IFI	1569	5.81	no	yeast	0.15059516495350958
210	89.87	Median_IFI	1570	0.47	no	yeast	0.33898548926248173
211	0.15	Median_IFI	1575	3.955	no	yeast	0.4279417752220114
212	37.44	Median_IFI	1576	12.7725	no	yeast	0.051962359476181635
213	0.07	Median_IFI	1579	0.98	no	yeast	0.6418304326820448
214	12.2	Median_IFI	1581	12.2	no	yeast	0.023082308423995772
215	0.15	Median_IFI	1587	0.13	no	yeast	0.020600188593029256
216	8.325	Median_IFI	1588	28.09	no	yeast	0.017992950462815085
217	0.63	Median_IFI	1593	0.27	no	yeast	0.7564287268678761
218	90.54	Median_IFI	1597	8.99	no	yeast	0.015334555028483991
219	17.24	Median_IFI	1602	9.1725	yes	yeast	0.007443077254656994
220	3.85	Median_IFI	2111	5.8475	no	yeast	0.32169944283953383
221	53.17	Median_IFI	2257	29.375	yes	yeast	0.003045269625423507
222	63.16	Median_IFI	2259	32.19	yes	yeast	3.2861390837542854e-05
223	95.66	Median_IFI	2278	48.3425	yes	yeast	0.006853944332183471
224	25.78	Median_IFI	2279	51.4	yes	yeast	0.008701954881286887
225	1.165	Median_IFI	2285	9.415	no	yeast	0.17633108920765198
226	71.14	Median_IFI	2310	14.96	yes	yeast	0.008767833437350528
227	0.13	Median_IFI	2316	0.2175	no	yeast	0.679016353812677
228	0.11	Median_IFI	2324	2.55	no	yeast	0.1732873833602846
229	0.085	Median_IFI	2378	2.2675	no	yeast	0.87968308427176
230	1177.8	Median_IFI	2384	80.11	yes	yeast	0.0002459035686972138
231	9.5	Median_IFI	2388	9.28	no	yeast	0.3153978084812571
232	8.46	Median_IFI	2391	18.01	yes	yeast	0.0005652765866469772
233	0.06	Median_IFI	2394	0.875	no	yeast	0.8086377565740883
234	45.42	Median_IFI	2538	0.345	no	yeast	0.5610200913327458
235	0.115	Median_IFI	2547	0.855	no	yeast	0.5248671992940548
236	0.165	Median_IFI	2554	8.645	no	yeast	0.17541358133502022
237	0.09	Median_IFI	2608	0.83	no	yeast	0.5259578466084788
238	0.1	Median_IFI	2609	0.1375	no	yeast	0.21012184636185915
239	25.57	Median_IFI	2617	23.03	no	yeast	0.01507432264840723
